#GSEA	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol_Dexamethasone:Dexamethasone
Pathway	NES	pvalue	p.adjust	qvalue	minus.log.padj	collection
GOCC_CONTRACTILE_MUSCLE_FIBER	-2.23322166688486	1.52080931258998e-10	1.45450202656105e-06	1.37401119262734e-06	5.86200972952065	c5.all.v2024.1.Hs.entrez
BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN	-2.50143407318648	6.94163887615981e-10	3.88037613177333e-06	3.52269905494384e-06	5.45312445711961	c2.all.v2024.1.Hs.entrez
ENK_UV_RESPONSE_KERATINOCYTE_UP	-1.79293575595034	1.40246311908196e-09	3.91988441783409e-06	3.55856563004955e-06	5.44872502014041	c2.all.v2024.1.Hs.entrez
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	-1.79062579083918	5.32570819527609e-09	9.92356960386445e-06	9.00885586295651e-06	5.0453303615133	c2.all.v2024.1.Hs.entrez
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.83186517827979	1.22021713088057e-06	6.10108565440286e-05	4.36709288946731e-05	4.3598075703974	h.all.v2024.1.Hs.entrez
ZWANG_DOWN_BY_2ND_EGF_PULSE	1.89404591960727	9.95428404495892e-08	0.000139111119528301	0.000126288429949334	3.89863643597934	c2.all.v2024.1.Hs.entrez
GENTILE_UV_HIGH_DOSE_DN	-1.81771178521393	2.30345794740017e-07	0.000257526598519339	0.000233788858198237	3.63117619008746	c2.all.v2024.1.Hs.entrez
DAZARD_RESPONSE_TO_UV_NHEK_UP	-1.91995806665473	3.49241996020047e-07	0.00032537712629201	0.000295385204002219	3.52961126251467	c2.all.v2024.1.Hs.entrez
GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY	1.93891267737259	9.57338031874875e-08	0.000389669038451839	0.000368105104342175	3.43402816035211	c5.all.v2024.1.Hs.entrez
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	-1.6878173554038	1.22229936779121e-07	0.000389669038451839	0.000368105104342175	3.43402816035211	c5.all.v2024.1.Hs.entrez
MIKKELSEN_NPC_ICP_WITH_H3K4ME3	1.74623647613617	5.08754050838949e-07	0.000406276449169961	0.000368827560766101	3.43317663360157	c2.all.v2024.1.Hs.entrez
GOBP_RIBOSOME_BIOGENESIS	-1.76364390000882	1.80561326980225e-07	0.000431722132809717	0.000407831018281913	3.38951974629604	c5.all.v2024.1.Hs.entrez
GOCC_I_BAND	-2.13073020730106	2.72459828302025e-07	0.000521161159576114	0.000492320569750796	3.30775201849773	c5.all.v2024.1.Hs.entrez
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	-1.63885354201392	8.17382481113547e-07	0.000571146008678091	0.000518500123874791	3.28525113551769	c2.all.v2024.1.Hs.entrez
KIM_WT1_TARGETS_UP	-1.84398793859472	9.3945921708506e-07	0.000583508558167276	0.000529723144510769	3.27595105158068	c2.all.v2024.1.Hs.entrez
GOCC_ACTIN_FILAMENT_BUNDLE	-2.11091283132329	4.05980703751154e-07	0.00064713324177934	0.000611321470227396	3.21373035108158	c5.all.v2024.1.Hs.entrez
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-1.74364381641956	3.46394946456106e-05	0.000865987366140265	0.000619864641026716	3.20770313642622	h.all.v2024.1.Hs.entrez
BASAKI_YBX1_TARGETS_UP	-1.78550169771224	1.79106017522124e-06	0.000834885577337962	0.000757929266236007	3.12037132301805	c2.all.v2024.1.Hs.entrez
SMID_BREAST_CANCER_LUMINAL_B_DN	-1.69671089299976	1.79224095314053e-06	0.000834885577337962	0.000757929266236007	3.12037132301805	c2.all.v2024.1.Hs.entrez
LIM_MAMMARY_STEM_CELL_UP	-1.60937996083087	1.52603645431727e-06	0.000834885577337962	0.000757929266236007	3.12037132301805	c2.all.v2024.1.Hs.entrez
GOCC_CELL_SUBSTRATE_JUNCTION	-1.68790548998832	6.43493600491361e-07	0.000879196113585626	0.000830542191431181	3.08063830055115	c5.all.v2024.1.Hs.entrez
ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	-1.82747253537445	2.2255988120808e-06	0.000957007489194742	0.000868794483647086	3.06108294527046	c2.all.v2024.1.Hs.entrez
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION	-1.91664058543488	8.70063148297565e-07	0.00104016049378974	0.000982598947610263	3.00762370534195	c5.all.v2024.1.Hs.entrez
GOBP_CELL_SUBSTRATE_ADHESION	-1.74549906777751	1.16341842388212e-06	0.0012363259784454	0.00116790881078131	2.93259106520352	c5.all.v2024.1.Hs.entrez
WU_CELL_MIGRATION	-1.91924035235368	3.69644403562433e-06	0.00147593729708143	0.00133989148088307	2.87293037414425	c2.all.v2024.1.Hs.entrez
