gene_name,log2FoldChange,padj
PTPN20,-25.7023688347681,1.19749228847618e-06
ENSG00000289328,-22.066548499901,0.0002437601579926
ENSG00000287514,-21.6371125663809,0.0003695845492901
ENSG00000263571,-21.3982444965163,0.0004244535884383
GATA4,-9.07893102233816,0.131728462461946
SPATA18,-9.05976241533397,0.0055713569146847
CLRN1,-8.60072452424394,0.177788002381126
GALNT17,-8.13846023522784,0.265673408328555
FSTL5,-7.6585749261964,0.999859800207174
PGM5P4-AS1,-7.4739147581542,0.771923058269177
NPS,-7.42043155772001,0.012262007859164
ENSG00000272163,-7.16909958450981,0.999859800207174
LINC02301,-7.04147818286239,0.999859800207174
CENPVL3,-7.04146684881123,0.92617039834427
VRK2,-7.01222029637188,0.0124048288743047
EDN3,-7.0092830362016,0.999859800207174
ENSG00000287294,-6.94153057489746,0.999859800207174
HSPD1P15,-6.93607678933864,0.999859800207174
TNFRSF10D,-6.81064589772682,0.999859800207174
SLC38A4,-6.80309280691953,0.126477415215508
