task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ed/3b4602	30244798	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_FASTA (GRCh38.p14.genome.fa.gz)	CACHED	0	2026-01-27 10:42:34.329	25.9s	19.7s	93.7%	4.9 MB	7.8 MB	854.9 MB	3.1 GB
2	65/4406b7	30244795	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_TRANSCRIPT_FASTA (gencode.v44.transcripts.fa.gz)	CACHED	0	2026-01-27 10:42:33.561	6.7s	2.3s	92.2%	4.9 MB	7.8 MB	78.9 MB	453.3 MB
3	91/9a6d16	30244797	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_GTF (gencode.v44.annotation.gtf.gz)	CACHED	0	2026-01-27 10:42:33.651	11.6s	4.9s	95.9%	4.9 MB	7.8 MB	47.5 MB	1.5 GB
8	b1/109b80	30244824	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:SALMON_INDEX (gencode.v44.transcripts.fa)	CACHED	0	2026-01-27 10:43:01.382	31m 24s	31m 4s	414.2%	19.5 GB	42.6 GB	70.6 GB	38.7 GB
7	68/8276cd	30244823	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GTF_FILTER (GRCh38.p14.genome.fa)	CACHED	0	2026-01-27 10:43:00.579	19.7s	16s	89.3%	18.9 MB	23.5 MB	4.6 GB	1.5 GB
5	3e/9d6d0f	30244800	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:OBJ_CONSTRUCTION (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:42:35.292	15s	10.4s	95.0%	503.1 MB	672.7 MB	57.1 MB	1.1 MB
10	14/a8e930	30244844	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GTF2BED (GRCh38.p14.genome.filtered.gtf)	CACHED	0	2026-01-27 10:43:20.510	34.7s	28s	97.2%	3.5 GB	3.6 GB	1.5 GB	30.9 MB
9	ec/0fa874	30244843	NFDATAOMICS_RNASEQ:RNASEQ:GENEID_TO_GENENAME (GRCh38.p14.genome.filtered.gtf)	CACHED	0	2026-01-27 10:43:20.411	1m 10s	1m 5s	96.9%	16.3 MB	26.5 MB	5 GB	3.6 GB
11	90/6a6637	30244814	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	CACHED	0	2026-01-27 10:42:50.570	14.7s	11.4s	95.4%	526.1 MB	695.7 MB	59.3 MB	9.6 MB
12	20/d7c208	30244847	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:UCSC_GTFTOGENEPRED (null)	CACHED	0	2026-01-27 10:43:22.396	27.9s	20s	95.4%	679.5 MB	690.4 MB	1.5 GB	100.9 MB
