task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	41/eb4051	30244559	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_TRANSCRIPT_FASTA (gencode.v44.transcripts.fa.gz)	COMPLETED	0	2026-01-27 10:37:48.352	7s	2.3s	92.8%	4.9 MB	7.8 MB	78.9 MB	453.3 MB
4	88/72ac96	30244560	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_GTF (gencode.v44.annotation.gtf.gz)	COMPLETED	0	2026-01-27 10:37:48.444	11.9s	5s	95.6%	4.9 MB	7.8 MB	47.5 MB	1.5 GB
5	e3/fa60d8	30244563	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:OBJ_CONSTRUCTION (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:37:50.293	15.1s	11.7s	85.3%	495.6 MB	665.3 MB	57.1 MB	1.1 MB
3	d9/b578ab	30244565	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:OBJ_CONSTRUCTION (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:37:51.247	14.1s	10.9s	92.0%	503.1 MB	672.7 MB	57.1 MB	1.1 MB
1	2a/c9379a	30244561	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_FASTA (GRCh38.p14.genome.fa.gz)	COMPLETED	0	2026-01-27 10:37:49.255	26.1s	19.9s	92.8%	4.9 MB	7.8 MB	854.9 MB	3.1 GB
6	10/201923	30244579	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:38:05.592	14.8s	11.5s	95.6%	526.1 MB	695.7 MB	59.3 MB	9.6 MB
7	bb/e12ee3	30244578	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:38:05.526	14.8s	11.5s	95.3%	537.4 MB	707.2 MB	59.3 MB	9.6 MB
10	e1/7d802a	30244589	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:CUSTOM_GETCHROMSIZES (GRCh38.p14.genome.fa)	COMPLETED	0	2026-01-27 10:38:15.487	14.9s	10s	79.3%	6.3 MB	10.5 MB	3.1 GB	40.7 KB
14	8f/a522df	30244596	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:CONTROL_GENE_HEATMAP (GSE52778_raw_counts_GRCh38.p13_NCBI)	FAILED	1	2026-01-27 10:38:20.694	9.7s	5s	-	-	-	-	-
9	6b/cf6b0b	30244590	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GTF_FILTER (GRCh38.p14.genome.fa)	COMPLETED	0	2026-01-27 10:38:15.564	25s	21s	72.9%	18.9 MB	23.5 MB	4.6 GB	1.5 GB
12	c3/c444ce	30244599	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:SAMPLES_CORRELATION (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:38:21.679	18.9s	16.5s	95.0%	980.4 MB	1.2 GB	69.8 MB	3.2 MB
13	f4/ec8353	30244597	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:PCA_AND_MDS (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:38:20.774	19.8s	14.9s	94.7%	744.6 MB	1 GB	72.4 MB	1.5 MB
11	0a/8a61f0	30244601	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_FIT (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:38:22.670	32.9s	27.1s	97.4%	758.6 MB	1 GB	84.6 MB	21 MB
8	6d/532883	30244592	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:SALMON_INDEX (gencode.v44.transcripts.fa)	COMPLETED	0	2026-01-27 10:38:16.485	29m 54s	29m 19s	398.5%	19.5 GB	41.5 GB	70.6 GB	38.7 GB
