task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	5b/1cd953	30244049	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_TRANSCRIPT_FASTA (gencode.v44.transcripts.fa.gz)	COMPLETED	0	2026-01-27 10:29:38.052	6s	2.7s	78.8%	4.9 MB	7.8 MB	78.9 MB	453.3 MB
5	88/69eed6	30244046	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_GTF (gencode.v44.annotation.gtf.gz)	COMPLETED	0	2026-01-27 10:29:37.175	11.9s	7.6s	62.5%	4.9 MB	7.8 MB	47.5 MB	1.5 GB
4	14/fa5ac1	30244052	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:OBJ_CONSTRUCTION (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:29:40.008	14.1s	10.3s	93.8%	503.1 MB	672.7 MB	57.1 MB	1.1 MB
3	fa/c755eb	30244050	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:OBJ_CONSTRUCTION (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:29:39.017	15.1s	11.1s	93.5%	495.6 MB	665.3 MB	57.1 MB	1.1 MB
1	f6/8b4471	30244047	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GUNZIP_FASTA (GRCh38.p14.genome.fa.gz)	COMPLETED	0	2026-01-27 10:29:37.259	26.8s	20.2s	91.6%	4.9 MB	7.8 MB	854.9 MB	3.1 GB
6	69/704998	30244068	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:29:54.308	14.8s	11.4s	95.2%	526.1 MB	695.7 MB	59.3 MB	9.6 MB
7	16/850f1e	30244067	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:R_COUNT_NORM (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:29:54.241	14.8s	12s	91.9%	545 MB	714.7 MB	59.3 MB	9.6 MB
10	eb/b7ac88	30244079	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:CUSTOM_GETCHROMSIZES (GRCh38.p14.genome.fa)	COMPLETED	0	2026-01-27 10:30:04.206	14.9s	9s	80.4%	6.3 MB	10.5 MB	3.1 GB	40.7 KB
14	a8/958c0f	30244087	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:CONTROL_GENE_HEATMAP (GSE52778_raw_counts_GRCh38.p13_NCBI)	FAILED	1	2026-01-27 10:30:09.456	14.6s	10s	-	-	-	-	-
9	17/595e80	30244080	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:GTF_FILTER (GRCh38.p14.genome.fa)	COMPLETED	0	2026-01-27 10:30:04.272	24.9s	22s	74.2%	18.9 MB	23.5 MB	4.6 GB	1.5 GB
12	2b/e70591	30244090	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:PCA_AND_MDS (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:30:10.451	18.8s	14.4s	95.1%	744.6 MB	1 GB	72.4 MB	1.5 MB
13	60/7292ee	30244088	NFDATAOMICS_RNASEQ:RNASEQ:DIM_REDUCTION:SAMPLES_CORRELATION (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:30:09.537	24.7s	19.1s	81.2%	980.4 MB	1.2 GB	69.8 MB	3.2 MB
11	59/2da94b	30244092	NFDATAOMICS_RNASEQ:RNASEQ:DIFFERENTIAL_EXPRESSION:DESEQ2_FIT (GSE52778_raw_counts_GRCh38.p13_NCBI)	COMPLETED	0	2026-01-27 10:30:11.437	32.8s	28.4s	93.9%	758.5 MB	1 GB	84.6 MB	21 MB
8	25/7f5ba7	30244082	NFDATAOMICS_RNASEQ:PREPARE_REFERENCES:SALMON_INDEX (gencode.v44.transcripts.fa)	COMPLETED	0	2026-01-27 10:30:05.191	28m 4s	27m 32s	392.7%	19.5 GB	41.7 GB	70.6 GB	38.7 GB
