#Over-representation	GSE52778_raw_counts_GRCh38.p13_NCBI	Treatment:Albuterol_Dexamethasone:Untreated
Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
CHEN_LVAD_SUPPORT_OF_FAILING_HEART_UP	0.0333333333333333	2.2834325090849e-05	0.00847153460870496	2.07203791059923	c2.all.v2024.1.Hs.entrez
ONDER_CDH1_TARGETS_1_UP	0.0238095238095238	6.25148555551227e-05	0.0115965057054753	1.93567285400102	c2.all.v2024.1.Hs.entrez
SHEDDEN_LUNG_CANCER_GOOD_SURVIVAL_A4	0.0192307692307692	0.000118011988217897	0.0145941492096133	1.83582121786268	c2.all.v2024.1.Hs.entrez
GOMF_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_SINGLE_DONORS_WITH_INCORPORATION_OF_MOLECULAR_OXYGEN	0.153846153846154	3.64879391319473e-05	0.0247388227314603	1.60662097137609	c5.all.v2024.1.Hs.entrez
VECCHI_GASTRIC_CANCER_EARLY_DN	0.0135746606334842	0.000330222161070752	0.0256896214243897	1.59024229567565	c2.all.v2024.1.Hs.entrez
LEE_LIVER_CANCER_MYC_TGFA_DN	0.0465116279069767	0.000346221312997166	0.0256896214243897	1.59024229567565	c2.all.v2024.1.Hs.entrez
REACTOME_CIRCADIAN_CLOCK	0.0294117647058824	0.000865950034361031	0.0535445771246571	1.27128450698141	c2.all.v2024.1.Hs.entrez
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_UP	0.016260162601626	0.00279879435818305	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_DN	0.0151515151515152	0.0032152034913777	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
SMID_BREAST_CANCER_BASAL_DN	0.00588235294117647	0.00371217636981719	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	0.0134228187919463	0.00407637787004723	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
YAGI_AML_FAB_MARKERS	0.0125	0.00468491649254796	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
MCBRYAN_PUBERTAL_BREAST_4_5WK_DN	0.0118343195266272	0.00521239565013247	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	0.0112359550561798	0.00576621942394082	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
BIOCARTA_EGFR_SMRTE_PATHWAY	0.1	0.00659628260502487	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
SETLUR_PROSTATE_CANCER_TMPRSS2_ERG_FUSION_DN	0.1	0.00659628260502487	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
SHI_SPARC_TARGETS_DN	0.1	0.00659628260502487	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
BRAUNE_GEIST_20_GENE_NOTCH_SIG_BREAST_CANCER	0.0909090909090909	0.0072537788145085	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
KIM_GERMINAL_CENTER_T_HELPER_DN	0.0909090909090909	0.0072537788145085	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
SASAKI_TARGETS_OF_TP73_AND_TP63	0.0909090909090909	0.0072537788145085	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
WP_TRANSCRIPTIONAL_CASCADE_REGULATING_ADIPOGENESIS	0.0909090909090909	0.0072537788145085	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
AMUNDSON_RESPONSE_TO_ARSENITE	0.00995024875621891	0.00729944753212919	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	0.0099009900990099	0.00736990760762715	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
FERRANDO_LYL1_NEIGHBORS	0.0833333333333333	0.00791088817618124	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
HAHTOLA_MYCOSIS_FUNGOIDES_DN	0.0833333333333333	0.00791088817618124	0.0876713091147853	1.05714250847837	c2.all.v2024.1.Hs.entrez
